TFs,Group,Gene_number,Genes
AF-4,ALL,4,Aff1;Aff3;Aff2;Aff4
AF-4,DEG,0,--
AF-4,Up,0,--
AF-4,Down,0,--
AP-2,ALL,5,Tfap2d;Tfap2b;Tfap2c;Tfap2a;Tfap2e
AP-2,DEG,0,--
AP-2,Up,0,--
AP-2,Down,0,--
ARID,ALL,15,Kdm5d;Arid3c;Arid4a;Kdm5a;Arid2;Arid5b;Arid5a;Arid1b;Kdm5c;Arid3a;Jarid2;Arid3b;Arid4b;Arid1a;Kdm5b
ARID,DEG,0,--
ARID,Up,0,--
ARID,Down,0,--
C/EBP,ALL,4,Cebpb;Cebpg;Cebpa;Cebpe
C/EBP,DEG,0,--
C/EBP,Up,0,--
C/EBP,Down,0,--
CBF,ALL,1,Cbfb
CBF,DEG,0,--
CBF,Up,0,--
CBF,Down,0,--
CG-1,ALL,2,Camta2;Camta1
CG-1,DEG,0,--
CG-1,Up,0,--
CG-1,Down,0,--
COE,ALL,4,Ebf2;Ebf4;Ebf3;Ebf1
COE,DEG,0,--
COE,Up,0,--
COE,Down,0,--
CP2,ALL,6,Tfcp2;Grhl1;Ubp1;Grhl3;Grhl2;Tfcp2l1
CP2,DEG,0,--
CP2,Up,0,--
CP2,Down,0,--
CSD,ALL,8,Csde1;Carhsp1;Ybx1;Ybx3;Lin28a;Csdc2;Ybx2;Lin28b
CSD,DEG,0,--
CSD,Up,0,--
CSD,Down,0,--
CSL,ALL,2,Rbpj;Rbpjl
CSL,DEG,0,--
CSL,Up,0,--
CSL,Down,0,--
CTF/NFI,ALL,4,Nfix;Nfib;Nfia;Nfic
CTF/NFI,DEG,0,--
CTF/NFI,Up,0,--
CTF/NFI,Down,0,--
CUT,ALL,7,Satb1;Cux2;Onecut2;Satb2;Onecut3;Cux1;Onecut1
CUT,DEG,0,--
CUT,Up,0,--
CUT,Down,0,--
DM,ALL,7,Dmrtc2;Dmrtb1;Dmrt1;Dmrt3;Dmrt2;Dmrta2;Dmrta1
DM,DEG,0,--
DM,Up,0,--
DM,Down,0,--
E2F,ALL,10,Tfdp2;E2f1;Tfdp1;E2f3;E2f6;E2f5;E2f7;E2f8;E2f4;E2f2
E2F,DEG,0,--
E2F,Up,0,--
E2F,Down,0,--
ESR-like,ALL,9,Pgr;Esr1;Nr3c2;Esr2;Nr3c1;Esrrb;Ar;Esrrg;Esrra
ESR-like,DEG,0,--
ESR-like,Up,0,--
ESR-like,Down,0,--
ETS,ALL,26,Gabpa;Spi1;Elf1;Erf;Elf2;Spic;Elk3;Etv2;Ehf;Elf5;Fli1;Ets1;Spib;Etv4;Erg;Etv3;Ets2;Elf4;Spdef;Etv1;Fev;Etv6;Etv5;Elk1;Elk4;Elf3
ETS,DEG,2,Ehf;Elf5
ETS,Up,2,Ehf;Elf5
ETS,Down,0,--
Family,ALL,1,Gene_id
Family,DEG,0,--
Family,Up,0,--
Family,Down,0,--
Fork head,ALL,42,Foxp2;Foxe1;Foxn2;Foxl2;Foxb2;Foxf1;Foxc2;Foxl1;Foxn1;Foxq1;Foxf2;Foxa2;Foxc1;Foxo1;Foxj2;Foxd4;Foxj1;Foxp3;Foxd2;Foxe3;Foxn4;Foxi3;Foxr2;Foxo4;Foxh1;Foxs1;Foxi2;Foxp1;Foxj3;Foxo6;Foxi1;Foxm1;Foxk2;Foxn3;Foxg1;Foxd1;Foxa3;Foxa1;Foxo3;Foxb1;Gm5294;Foxk1
Fork head,DEG,0,--
Fork head,Up,0,--
Fork head,Down,0,--
