gene1	gene_type	gene2	gene_type	combined_score
Serpinc1	Down	F2	Down	999
Otc	Down	Cps1	Down	999
Fgg	Down	Fgb	Down	999
Tnnt3	Down	Tnni2	Down	998
Apob	Down	Apoa1	Down	998
Tnni2	Down	Tnnc2	Down	997
Fgg	Down	F2	Down	997
Fgb	Down	F2	Down	996
Apoa2	Down	Apoa1	Down	996
Apoc3	Down	Apoa1	Down	995
Tnnt3	Down	Tnnc2	Down	993
Plg	Down	Fgg	Down	992
Plg	Down	Fgb	Down	992
Apoc3	Down	Apoa2	Down	991
Serpinc1	Down	Fgg	Down	987
Serpinc1	Down	Fgb	Down	987
Plg	Down	Apob	Down	986
Apoc3	Down	Apob	Down	986
Plg	Down	Alb	Down	985
Tnnc2	Down	Myl1	Down	984
Tnni2	Down	Myl1	Down	983
Tat	Down	Hpd	Down	983
Serpinc1	Down	Plg	Down	981
Hp	Down	Apoa1	Down	980
Apoa1	Down	Alb	Down	980
Fgg	Down	Ahsg	Down	979
Apob	Down	Apoa2	Down	979
Apoc3	Down	Apoa4	Down	978
Plg	Down	Kng1	Down	976
Plg	Down	Hrg	Down	975
Egf	Up	Alb	Down	973
Alb	Down	Ahsg	Down	972
Cd36	Down	Apob	Down	971
Mat1a	Down	Bhmt	Down	970
F2	Down	Cpb2	Down	970
Tat	Down	Mat1a	Down	969
Kng1	Down	Alb	Down	969
Pip	Up	Azgp1	Down	968
Kng1	Down	F2	Down	968
Kng1	Down	Ahsg	Down	968
Hpx	Down	Alb	Down	968
Fgg	Down	Alb	Down	967
Fgb	Down	Alb	Down	967
Tnnc2	Down	Mybpc2	Down	966
Cyp3a25	Down	Cyp2d26	Down	966
Apob	Down	Apoa4	Down	966
Ngf	Up	Klk1b4	Up	965
Tnni2	Down	Mybpc2	Down	964
Plg	Down	Kng2	Down	964
Kng1	Down	Fgb	Down	964
Fgb	Down	Ahsg	Down	964
Apoa5	Down	Apoa2	Down	964
Hrg	Down	Ahsg	Down	963
Kng1	Down	Hrg	Down	962
Kng1	Down	Fgg	Down	962
Cyp3a25	Down	Cyp3a11	Down	962
Apob	Down	Apoa5	Down	960
Plg	Down	Ahsg	Down	959
Cyp3a11	Down	Cyp2c29	Down	957
Cd36	Down	Apoa1	Down	956
Cyp3a25	Down	Cyp2c29	Down	955
Kng2	Down	Alb	Down	954
Cyp3a25	Down	Cyp2a12	Down	954
Cyp3a11	Down	Cyp2d26	Down	954
Apoa5	Down	Apoa1	Down	954
Apoa4	Down	Apoa1	Down	954
Serpina3k	Down	Plg	Down	953
Cyp2d26	Down	Cyp2d10	Down	953
Hrg	Down	Fgg	Down	952
Mylpf	Down	Myl1	Down	950
Myl1	Down	Mybpc2	Down	949
Kng1	Down	Egf	Up	949
Cyp3a25	Down	Cyp2d10	Down	949
Cyp3a11	Down	Cyp2d10	Down	949
Plg	Down	Egf	Up	947
Cyp4a10	Down	Cyp2b9	Down	947
Orm1	Down	Ahsg	Down	946
Cyp3a11	Down	Cyp1a2	Down	946
Kng2	Down	F2	Down	945
Cyp4a10	Down	Cyp2e1	Down	945
Cyp3a11	Down	Cyp2e1	Down	945
Apoa4	Down	Apoa2	Down	945
Kng2	Down	Egf	Up	944
Hrg	Down	Fgb	Down	944
Cyp4a10	Down	Cyp3a11	Down	944
Cyp3a25	Down	Cyp2c37	Down	943
Cyp3a11	Down	Cyp2b9	Down	943
Cyp2d26	Down	Cyp2a12	Down	943
Cyp2c29	Down	Cyp1a2	Down	943
Cyp3a11	Down	Cyp2a12	Down	942
Cyp2d26	Down	Cyp2c29	Down	942
Cyp2d10	Down	Cyp2c29	Down	942
Cyp4a10	Down	Cyp2c29	Down	941
Cyp3a25	Down	Cyp2j5	Down	941
Cyp3a25	Down	Cyp1a2	Down	941
Cyp4a10	Down	Cyp2j5	Down	940
Cyp4a10	Down	Cyp1a2	Down	940
Cyp3a11	Down	Cyp2c37	Down	940
Serpina3k	Down	Alb	Down	939
Cyp4a10	Down	Cyp2c37	Down	939
Cyp3a25	Down	Cyp2c50	Down	938
Serpina3k	Down	Fgb	Down	937
Mylpf	Down	Actg2	Up	937
Hrg	Down	Alb	Down	937
Cyp3a11	Down	Cyp2c50	Down	937
Cyp2d10	Down	Cyp1a2	Down	937
Serpina3k	Down	Fgg	Down	936
Orm1	Down	Hrg	Down	936
Kng2	Down	Kng1	Down	936
Cyp4a10	Down	Cyp3a25	Down	936
Cyp3a25	Down	Cyp2e1	Down	936
Cyp2e1	Down	Cyp1a2	Down	936
Serpina3k	Down	Ahsg	Down	934
Kng2	Down	Hrg	Down	934
Cyp3a11	Down	Cyp2j5	Down	934
Tnni2	Down	Mylpf	Down	933
Cyp2d26	Down	Cyp1a2	Down	933
Ugt3a2	Down	Cyp2a12	Down	932
Serpina3k	Down	Kng1	Down	932
Cyp4a10	Down	Cyp2a12	Down	932
Cyp3a25	Down	Cyp2b9	Down	932
Cyp2d10	Down	Cyp2a12	Down	932
Cyp3a11	Down	Cyp2c54	Down	931
Cyp2c37	Down	Cyp2a12	Down	931
Cyp2c37	Down	Cyp1a2	Down	931
Ugt3a2	Down	Cyp2j5	Down	930
Ugt3a2	Down	Cyp2c50	Down	930
Orm1	Down	Kng1	Down	930
Cyp3a25	Down	Cyp2c54	Down	930
Tnnt3	Down	Mylpf	Down	929
Slc10a1	Down	Alb	Down	929
Cyp4f18	Down	Cyp2e1	Down	929
Cyp2a12	Down	Cyp1a2	Down	929
Cyp2b9	Down	Cyp1a2	Down	928
Orm1	Down	Fgg	Down	927
Cyp4f18	Down	Cyp2c54	Down	927
Cyp4f18	Down	Cyp2c29	Down	927
Cyp2d26	Down	Cyp2c37	Down	927
Cyp2c29	Down	Cyp2a12	Down	927
Apoa5	Down	Apoa4	Down	927
Kng2	Down	Fgb	Down	926
Cyp4a10	Down	Cyp2c54	Down	926
