gene_docked,gene_type,other_gene,gene_type,combined_score
Fgb,Down,Fgg,Down,999
Tnnt3,Down,Tnni2,Down,998
Tnnt3,Down,Tnni2,Down,998
Tnnt3,Down,Tnni2,Down,998
Tnnt3,Down,Tnni2,Down,998
Fgb,Down,F2,Down,996
Tnnt3,Down,Tnnc2,Down,993
Tnnt3,Down,Tnnc2,Down,993
Tnnt3,Down,Tnnc2,Down,993
Tnnt3,Down,Tnnc2,Down,993
Fgb,Down,Plg,Down,992
Fgb,Down,Serpinc1,Down,987
Myl1,Down,Tnnc2,Down,984
Myl1,Down,Tnni2,Down,983
Hp,Down,Apoa1,Down,980
Hp,Down,Apoa1,Down,980
Kng1,Down,Plg,Down,976
Kng1,Down,Alb,Down,969
Kng1,Down,F2,Down,968
Kng1,Down,Ahsg,Down,968
Fgb,Down,Alb,Down,967
Ngf,Up,Klk1b4,Up,965
Fgb,Down,Kng1,Down,964
Kng1,Down,Fgb,Down,964
Fgb,Down,Ahsg,Down,964
Apoa5,Down,Apoa2,Down,964
Kng1,Down,Hrg,Down,962
Kng1,Down,Fgg,Down,962
Apoa5,Down,Apob,Down,960
Apoa5,Down,Apoa1,Down,954
Myl1,Down,Mylpf,Down,950
Myl1,Down,Mybpc2,Down,949
Kng1,Down,Egf,Up,949
Fgb,Down,Hrg,Down,944
Fgb,Down,Serpina3k,Down,937
Kng1,Down,Kng2,Down,936
Kng1,Down,Serpina3k,Down,932
Kng1,Down,Orm1,Down,930
Tnnt3,Down,Mylpf,Down,929
Tnnt3,Down,Mylpf,Down,929
Tnnt3,Down,Mylpf,Down,929
Tnnt3,Down,Mylpf,Down,929
Apoa5,Down,Apoa4,Down,927
Fgb,Down,Kng2,Down,926
Fgb,Down,Orm1,Down,923
Tnnt3,Down,Myh1,Down,918
Tnnt3,Down,Myh1,Down,918
Tnnt3,Down,Myh1,Down,918
Tnnt3,Down,Myh1,Down,918
Tnnt3,Down,Myh4,Down,911
Tnnt3,Down,Myh4,Down,911
Tnnt3,Down,Myh4,Down,911
Tnnt3,Down,Myh4,Down,911
Kng1,Down,Ctsw,Down,907
Fgb,Down,Egf,Up,904
Fgb,Down,Ctsw,Down,901
Tnnt3,Down,Myl1,Down,884
Tnnt3,Down,Myl1,Down,884
Tnnt3,Down,Myl1,Down,884
Tnnt3,Down,Myl1,Down,884
Myl1,Down,Tnnt3,Down,884
Myh2,Down,Mylpf,Down,877
Myh2,Down,Tnnc2,Down,876
Tnnt3,Down,Myh2,Down,869
Tnnt3,Down,Myh2,Down,869
Tnnt3,Down,Myh2,Down,869
Tnnt3,Down,Myh2,Down,869
Myh2,Down,Tnnt3,Down,869
Apoa5,Down,Apoc3,Down,869
Tnn,Up,F2,Down,858
Tnn,Up,F2,Down,858
Myl1,Down,Myh1,Down,851
Tnnt3,Down,Mybpc2,Down,834
Tnnt3,Down,Mybpc2,Down,834
Tnnt3,Down,Mybpc2,Down,834
Tnnt3,Down,Mybpc2,Down,834
Ngf,Up,Klk1b3,Up,834
Tnnt3,Down,Ckm,Down,833
Tnnt3,Down,Ckm,Down,833
Tnnt3,Down,Ckm,Down,833
Tnnt3,Down,Ckm,Down,833
Hp,Down,Hpx,Down,830
Hp,Down,Hpx,Down,830
Myh2,Down,Tnni2,Down,825
Myl1,Down,Myh4,Down,808
Myh2,Down,Myl1,Down,804
Myl1,Down,Myh2,Down,804
Pth,Down,Sost,Up,765
Pth,Down,Sost,Up,765
Pth,Down,Sost,Up,765
Myh2,Down,Actg2,Up,749
Ngf,Up,Egf,Up,735
Myl1,Down,Ckm,Down,734
Fgb,Down,Ambp,Down,728
Ngf,Up,Plg,Down,727
Fgb,Down,Apoa1,Down,708
Fgb,Down,Gc,Down,701
Myh2,Down,Myh1,Down,682
Kng1,Down,Serpinc1,Down,673
Pth,Down,Alb,Down,658
Pth,Down,Alb,Down,658
Pth,Down,Alb,Down,658
Kng1,Down,Hpx,Down,651
Fgb,Down,Hpx,Down,648
Kng1,Down,Apoa1,Down,634
Hp,Down,Alb,Down,625
Hp,Down,Alb,Down,625
Hp,Down,Serpina1a,Down,614
Hp,Down,Serpina1a,Down,614
Hp,Down,Serpina1c,Down,600
Hp,Down,Serpina1c,Down,600
Hp,Down,Serpina1d,Down,599
Hp,Down,Serpina1d,Down,599
Hp,Down,Serpina1b,Down,599
Hp,Down,Serpina1b,Down,599
Myh2,Down,Ckm,Down,594
Kng1,Down,Gc,Down,589
Kng1,Down,Ambp,Down,587
Mug1,Down,Hpx,Down,581
Hp,Down,Orm1,Down,574
Hp,Down,Orm1,Down,574
Pth,Down,Gc,Down,570
Pth,Down,Gc,Down,570
Pth,Down,Gc,Down,570
Hp,Down,Serpinc1,Down,566
Hp,Down,Serpinc1,Down,566
Kng1,Down,Apoa2,Down,566
Myh2,Down,Mybpc2,Down,561
Kng1,Down,Cfi,Down,551
Ngf,Up,Kng1,Down,541
Kng1,Down,Ngf,Up,541
Pth,Down,Bglap3,Up,539
Pth,Down,Bglap3,Up,539
Pth,Down,Bglap3,Up,539
Myh2,Down,Myh4,Down,538
Ngf,Up,Kng2,Down,537
Fgb,Down,Apoa2,Down,533
Hp,Down,Gc,Down,528
Hp,Down,Gc,Down,528
Mug1,Down,Gc,Down,527
Apoa5,Down,Fabp1,Down,527
Fgb,Down,Cfi,Down,525
Mug1,Down,Hrg,Down,521
Hp,Down,Fgg,Down,520
Hp,Down,Fgg,Down,520
Kng1,Down,Itih1,Down,515
Kng1,Down,Mug1,Down,510
Mug1,Down,Kng1,Down,510
Fgb,Down,Serpina1a,Down,508
Ngf,Up,Alb,Down,497
Fgb,Down,Hp,Down,497
Hp,Down,Fgb,Down,497
Hp,Down,Fgb,Down,497
Fgb,Down,Serpina1d,Down,494
Apoa5,Down,Plg,Down,492
Apoa5,Down,Apof,Down,492
Kng1,Down,Hp,Down,489
Hp,Down,Kng1,Down,489
Hp,Down,Kng1,Down,489
Fgb,Down,Akr1c6,Down,486
Kng1,Down,Cps1,Down,482
Hp,Down,Ambp,Down,481
Hp,Down,Ambp,Down,481
Pth,Down,Ahsg,Down,480
Pth,Down,Ahsg,Down,480
Pth,Down,Ahsg,Down,480
Kng1,Down,Klk1b5,Up,480
Kng1,Down,Klk1b9,Up,479
Fgb,Down,Apoc3,Down,478
Mug1,Down,Apoa1,Down,477
Kng1,Down,Apoc3,Down,476
Mug1,Down,Serpinc1,Down,475
Mug1,Down,Ahsg,Down,471
Hp,Down,Apob,Down,471
Hp,Down,Apob,Down,471
Fgb,Down,Fabp1,Down,464
Mug1,Down,F2,Down,462
Pth,Down,Egf,Up,460
Pth,Down,Egf,Up,460
Pth,Down,Egf,Up,460
Apoa5,Down,F2,Down,459
Kng1,Down,Rdh7,Down,458
Orc1,Down,Cps1,Down,456
Kng1,Down,Apof,Down,456
Fgb,Down,Mug1,Down,452
Mug1,Down,Fgb,Down,452
Mug1,Down,Akr1c6,Down,450
Tnnt3,Down,Myom2,Down,447
Tnnt3,Down,Myom2,Down,447
Tnnt3,Down,Myom2,Down,447
Tnnt3,Down,Myom2,Down,447
Mug1,Down,Plg,Down,444
Hp,Down,Serpina3k,Down,443
Hp,Down,Serpina3k,Down,443
Pth,Down,F2,Down,442
Pth,Down,F2,Down,442
Pth,Down,F2,Down,442
Fgb,Down,Ces1c,Down,442
Apoa5,Down,Serpinc1,Down,441
Kng1,Down,Mat1a,Down,441
Kng1,Down,Cyp2d26,Down,439
Apoa5,Down,Hpx,Down,436
Kng1,Down,Cpb2,Down,435
