UNIPROT ID,Protein Name,Docking Rank,Docking Affinity,Gene Rank,Gene P-Value Significance,Fold Change
Q9DAR5,,1329,38.87,,,
A2AB62,,918,40.25,0.865876561,0.865876561,1.030235758
G3X8Y2,,4399,32.68,1,1,0.976825505
E9Q3M9,,5559,30.42,0.453653427,0.453653427,1.12298435
Q8BIB6,zf-C2H2,2,56.4,0.658491347,0.658491347,0.952205874
Q6NSU2,,622,42.09,0.434457364,0.434457364,0.703868018
Q6NSU2,,622,42.09,0.434457364,1,1.150763644
Q6NSU2,,890,40.44,0.434457364,0.434457364,0.703868018
Q6NSU2,,890,40.44,0.434457364,1,1.150763644
Q6NSU2,,3680,33.94,0.434457364,0.434457364,0.703868018
Q6NSU2,,3680,33.94,0.434457364,1,1.150763644
F6Z6Z2,,1369,38.74,0.916337055,0.916337055,0.937547973
F6Z6Z2,,1571,38.19,0.916337055,0.916337055,0.937547973
Q9D6C3,,6074,29.13,0.360268155,0.360268155,0.577349645
Q8BQJ2,,6056,29.17,,,
Q8BQJ2,,6056,29.17,,1,1.150763644
Q9CQ47,,6715,26.99,1,1,1.004393997
D3Z1P8,,6089,29.09,0.463544614,0.463544614,0.896418942
D3Z1P8,,6875,26.14,0.463544614,0.463544614,0.896418942
Q8BVR5,,1355,38.77,,,
Q8BVR5,,6845,26.25,,,
Q14BQ3,,938,40.18,0.691436833,0.691436833,1.27980348
Q80ZP0,,5458,30.62,1,1,1.006703844
Q99PA7,,1348,38.81,1,1,0.964461332
Q9D4U4,,6672,27.16,,,
Q9D4U4,,6672,27.16,,1,1.150763644
Q3V0H9,,3344,34.54,,,
Q3V0H9,,6790,26.56,,,
A3KN63,,3995,33.42,,,
Q14BX6,,2669,35.79,1,1,0.965137118
Q9D3Z8,,4938,31.68,0.608702353,0.608702353,0.570758506
Q9D3T1,,2537,36.03,,,
Q8BJX2,,887,40.44,0.406276887,0.406276887,1.136774297
Q9D2Z6,,308,44.51,0.172131867,0.172131867,2.875614125
G3X941,zf-C2H2,5876,29.65,0.447990708,0.447990708,1.111163603
G3X941,zf-C2H2,6507,27.88,0.447990708,0.447990708,1.111163603
D3Z623,,4905,31.74,0.740903395,0.740903395,0.97446584
H3BKP8,,206,45.55,0.753920134,0.753920134,1.024636091
Q5SVP0,,6447,28.12,0.254116662,0.254116662,0.654243995
J3KMM7,,1690,37.87,1,1,1.101140082
J3KMM7,,1690,37.87,1,1,1.150763644
Q6P3A2,,3949,33.5,0.790709055,0.790709055,0.962324759
Q6P3A2,,6077,29.12,0.790709055,0.790709055,0.962324759
O70616,,6625,27.34,,,
A2AS37,,3798,33.74,0.097111422,0.097111422,0.555684572
E9Q3L4,,5760,29.93,0.196910921,0.196910921,0.674723911
Q3UHJ0,,3156,34.91,0.564913844,0.564913844,1.039664597
Q3UHJ0,,3614,34.05,0.564913844,0.564913844,1.039664597
Q3UHJ0,,6765,26.69,0.564913844,0.564913844,1.039664597
J3QN89,,4341,32.78,0.500863701,0.500863701,0.949727491
Q811W1,,4166,33.11,0.999873833,0.999873833,1.007590388
Q80WC9,,4269,32.92,0.65176414,0.65176414,0.955087298
Q80WC9,,5447,30.64,0.65176414,0.65176414,0.955087298
Q9JKX4,,2458,36.18,0.782174566,0.782174566,0.976087075
Q9JKX4,,5826,29.76,0.782174566,0.782174566,0.976087075
E9Q876,,6703,27.02,0.418965751,0.418965751,0.707958441
Q5SSE9,,5309,30.93,1,1,0.989987384
E9PWH4,,4433,32.63,0.567838913,0.567838913,0.507300382
E9PX95,,6913,25.85,0.305617398,0.305617398,1.480781872
Q91V24,,1573,38.19,0.608373814,0.608373814,0.953916154
Q91V24,,2534,36.03,0.608373814,0.608373814,0.953916154
Q91V24,,5946,29.49,0.608373814,0.608373814,0.953916154
Q91V24,,6767,26.68,0.608373814,0.608373814,0.953916154
Q9QY30,,2486,36.13,0.301201686,0.301201686,0.483144691
Q9QY30,,4065,33.3,0.301201686,0.301201686,0.483144691
P21447,,270,44.82,0.978284605,0.978284605,0.988660697
P21447,,270,44.82,0.978284605,0.593981702,1.06714652
P21447,,270,44.82,0.978284605,1,1.150763644
P21447,,2141,36.85,0.978284605,0.978284605,0.988660697
P21447,,2141,36.85,0.978284605,0.593981702,1.06714652
P21447,,2141,36.85,0.978284605,1,1.150763644
P21447,,3458,34.35,0.978284605,0.978284605,0.988660697
P21447,,3458,34.35,0.978284605,0.593981702,1.06714652
P21447,,3458,34.35,0.978284605,1,1.150763644
P21447,,270,44.82,0.593981702,0.978284605,0.988660697
P21447,,270,44.82,0.593981702,0.593981702,1.06714652
P21447,,270,44.82,0.593981702,1,1.150763644
P21447,,2141,36.85,0.593981702,0.978284605,0.988660697
P21447,,2141,36.85,0.593981702,0.593981702,1.06714652
P21447,,2141,36.85,0.593981702,1,1.150763644
P21447,,3458,34.35,0.593981702,0.978284605,0.988660697
P21447,,3458,34.35,0.593981702,0.593981702,1.06714652
P21447,,3458,34.35,0.593981702,1,1.150763644
Q61102,,5436,30.66,0.936068753,0.936068753,1.005940908
Q9CXJ4,,6619,27.37,0.876205715,0.876205715,1.009757234
O35379,,2081,36.99,0.208345292,0.208345292,0.901493159
O35379,,2081,36.99,0.208345292,1,1.150763644
O35379,,2600,35.92,0.208345292,0.208345292,0.901493159
O35379,,2600,35.92,0.208345292,1,1.150763644
Q80WJ6,,360,44.07,0.965679576,0.965679576,1.036861865
Q80WJ6,,2108,36.92,0.965679576,0.965679576,1.036861865
Q8VI47,,1755,37.7,0.479704593,0.479704593,0.726928256
Q8VI47,,2457,36.18,0.479704593,0.479704593,0.726928256
B2RX12,,5200,31.17,0.012149353,0.012149353,0.722792505
E9Q236,,4718,32.09,0.655337895,0.655337895,0.959629191
Q9R1X5,,2378,36.35,0.868901858,0.868901858,0.987075273
Q9R1X5,,2378,36.35,0.868901858,1,1.150763644
Q9R1X5,,3133,34.95,0.868901858,0.868901858,0.987075273
Q9R1X5,,3133,34.95,0.868901858,1,1.150763644
Q9R1X5,,4926,31.71,0.868901858,0.868901858,0.987075273
Q9R1X5,,4926,31.71,0.868901858,1,1.150763644
Q9R1S7,,2454,36.18,0.756308327,0.756308327,1.07616917
Q9R1S7,,5892,29.63,0.756308327,0.756308327,1.07616917
