UNIPROT ID,GENE,From Docking List,Docking Rank,From Raw Data,GO ID,P-Value Significance,Fold Change
Q9DAR5,1700001F09Rik,,1329,RIKEN cDNA 1700001F09 gene,,,
A2AB62,1700023F06Rik,,918,EF-hand calcium-binding domain 15,,0.865876561,1.030235758
G3X8Y2,1810062G17Rik,,4399,RIKEN cDNA 1810062G17 gene,,1,0.976825505
E9Q3M9,2010300C02Rik,,5559,Capping protein-inhibiting regulator of actin-like,,0.453653427,1.12298435
Q8BIB6,2810021J22Rik,zf-C2H2,2,RIKEN cDNA 2810021J22 gene,,0.658491347,0.952205874
Q6NSU2,2810408A11Rik,,622,RIKEN cDNA 2810408A11 gene,,0.434457364,0.703868018
Q6NSU2,2810408A11Rik,,890,RIKEN cDNA 2810408A11 gene,,0.434457364,0.703868018
Q6NSU2,2810408A11Rik,,3680,RIKEN cDNA 2810408A11 gene,,0.434457364,0.703868018
F6Z6Z2,3110082J24Rik,,1369,RIKEN cDNA 3110082J24 gene,,0.916337055,0.937547973
F6Z6Z2,3110082J24Rik,,1571,RIKEN cDNA 3110082J24 gene,,0.916337055,0.937547973
Q9D6C3,3830403N18Rik,,6074,RIKEN cDNA 3830403N18 gene,,0.360268155,0.577349645
Q8BQJ2,3830417A13Rik,,6056,MAGE family member A9,,,
Q9CQ47,4921530L21Rik,,6715,Spermatid-associated-like,,1,1.004393997
D3Z1P8,4930467E23Rik,,6089,RIKEN cDNA 4930467E23 gene,,0.463544614,0.896418942
D3Z1P8,4930467E23Rik,,6875,RIKEN cDNA 4930467E23 gene,,0.463544614,0.896418942
Q8BVR5,4930474N05Rik,,1355,RIKEN cDNA 4930474N05 gene,,,
Q8BVR5,4930474N05Rik,,6845,RIKEN cDNA 4930474N05 gene,,,
Q14BQ3,4930502E18Rik,,938,Cancer/testis antigen 55,,0.691436833,1.27980348
Q80ZP0,4930503B20Rik,,5458,4930503B20Rik protein (RIKEN cDNA 4930503B20 gene),,1,1.006703844
Q99PA7,4930550L24Rik,,1348,MAGE family member A13 (Mage-k1),,1,0.964461332
Q9D4U4,4930557A04Rik,,6672,H2A histone family member L3,,,
Q3V0H9,4930596D02Rik,,3344,RIKEN cDNA 4930596D02 gene,,,
Q3V0H9,4930596D02Rik,,6790,RIKEN cDNA 4930596D02 gene,,,
A3KN63,4933402N22Rik,,3995,RIKEN cDNA 4933402N22 gene,,,
Q14BX6,4933415F23Rik,,2669,"4933415F23Rik protein (Protein phosphatase 1, regulatory inhibitor subunit 14B-like)",,1,0.965137118
Q9D3Z8,4933425L06Rik,,4938,"5' nucleotidase, ecto-like","mmu00230,mmu00240,mmu00760",0.608702353,0.570758506
Q9D3T1,4933436I01Rik,,2537,RIKEN cDNA 4933436I01 gene,,,
Q8BJX2,6820408C15Rik,,887,RIKEN cDNA 6820408C15 gene,,0.406276887,1.136774297
Q9D2Z6,9130008F23Rik,,308,9130008F23Rik protein (RIKEN cDNA 9130008F23 gene),,0.172131867,2.875614125
G3X941,9130019O22Rik,zf-C2H2,5876,RIKEN cDNA 9130019O22 gene,,0.447990708,1.111163603
G3X941,9130019O22Rik,zf-C2H2,6507,RIKEN cDNA 9130019O22 gene,,0.447990708,1.111163603
D3Z623,9330159F19Rik,,4905,RIKEN cDNA 9330159F19 gene,,0.740903395,0.97446584
H3BKP8,9930021J03Rik,,206,RIKEN cDNA 9930021J03 gene,,0.753920134,1.024636091
Q5SVP0,9930111J21Rik1,,6447,RIKEN cDNA 9930111J21 gene 1,,0.254116662,0.654243995
J3KMM7,A630095N17Rik,,1690,RIKEN cDNA A630095N17 gene,,1,1.101140082
Q6P3A2,AA415398,,3949,Expressed sequence AA415398 (FSHD region gene 2 family member 1),,0.790709055,0.962324759
Q6P3A2,AA415398,,6077,Expressed sequence AA415398 (FSHD region gene 2 family member 1),,0.790709055,0.962324759
O70616,AF067061,,6625,AF067061 protein (Uncharacterized protein variable group of 2-cell-stage gene family) (cDNA sequence AF067061),,,
A2AS37,AI182371,,3798,Expressed sequence AI182371,,0.097111422,0.555684572
E9Q3L4,AI607873,,5760,Interferon-activated gene 207,,0.196910921,0.674723911
Q3UHJ0,Aak1,,3156,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),,0.564913844,1.039664597
Q3UHJ0,Aak1,,3614,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),,0.564913844,1.039664597
Q3UHJ0,Aak1,,6765,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),,0.564913844,1.039664597
J3QN89,Aamp,,4341,Angio-associated migratory protein,,0.500863701,0.949727491
Q811W1,Aard,,4166,Alanine and arginine-rich domain-containing protein,,0.999873833,1.007590388
Q80WC9,Aasdh,,4269,Beta-alanine-activating enzyme (EC 6.2.1.-) (Acyl-CoA synthetase family member 4) (Protein LYS2 homolog),,0.65176414,0.955087298
Q80WC9,Aasdh,,5447,Beta-alanine-activating enzyme (EC 6.2.1.-) (Acyl-CoA synthetase family member 4) (Protein LYS2 homolog),,0.65176414,0.955087298
Q9JKX4,Aatf,,2458,Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1) (Traube protein),,0.782174566,0.976087075
Q9JKX4,Aatf,,5826,Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1) (Traube protein),,0.782174566,0.976087075
E9Q876,Abca12,,6703,Glucosylceramide transporter ABCA12 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 12),mmu02010,0.418965751,0.707958441
Q5SSE9,Abca13,,5309,ATP-binding cassette sub-family A member 13 (EC 7.6.2.-),mmu02010,1,0.989987384
E9PWH4,Abca15,,4433,"ATP-binding cassette, sub-family A (ABC1), member 15",,0.567838913,0.507300382
E9PX95,Abca17,,6913,ATP-binding cassette sub-family A member 17,mmu02010,0.305617398,1.480781872
Q91V24,Abca7,,1573,ATP-binding cassette sub-family A member 7,mmu02010,0.608373814,0.953916154
Q91V24,Abca7,,2534,ATP-binding cassette sub-family A member 7,mmu02010,0.608373814,0.953916154
Q91V24,Abca7,,5946,ATP-binding cassette sub-family A member 7,mmu02010,0.608373814,0.953916154
Q91V24,Abca7,,6767,ATP-binding cassette sub-family A member 7,mmu02010,0.608373814,0.953916154
Q9QY30,Abcb11,,2486,Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11) (Sister of P-glycoprotein),"mmu02010,mmu04976,mmu04979,mmu01522",0.301201686,0.483144691
