UNIPROT ID,GENE,From Docking List,Docking Rank,From Raw Data,GO ID,Gene Rank
P02815,Mucl2,mucin-like 2,2302,Mucin-like protein 2 (16.5 kDa submandibular gland glycoprotein) (Salivary protein 1),biological_process|molecular_function|cellular_component|extracellular region,1
P01139,Ngf,nerve growth factor,6955,Beta-nerve growth factor (Beta-NGF),"extracellular space|transmembrane receptor protein tyrosine kinase signaling pathway|cell-cell signaling|peripheral nervous system development|positive regulation of neuron projection development|memory|positive regulation of neuron maturation|circadian rhythm|sensory perception of pain|nerve development|transmembrane receptor protein tyrosine kinase activator activity|locomotion|positive regulation of cell growth|positive regulation of DNA binding|peptidase inhibitor activity|negative regulation of neuron apoptotic process|axon|neuron projection terminus|regulation of neuron differentiation|positive regulation of protein phosphorylation|regulation of release of sequestered calcium ion into cytosol|positive regulation of neurotrophin TRK receptor signaling pathway|positive regulation of neuron differentiation|enzyme inhibitor activity|neuron apoptotic process|positive regulation of axon extension|signal transducer activity|cellular response to acid chemical|signal transducer activity, downstream of receptor|extrinsic apoptotic signaling pathway in absence of ligand|signaling receptor binding|positive regulation of stem cell proliferation|nerve growth factor receptor binding|negative regulation of type B pancreatic cell apoptotic process|extracellular region|synaptic vesicle|growth factor activity|metalloendopeptidase inhibitor activity|positive regulation of cell proliferation|adult locomotory behavior|extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of peptidase activity|dendrite|positive regulation of gene expression|neuron projection development|positive regulation of protein ubiquitination|cytoplasmic vesicle|positive regulation of protein autophosphorylation|positive regulation of protein binding|nerve growth factor signaling pathway|positive regulation of Ras protein signal transduction|regulation of neurotransmitter secretion|neuron development|positive regulation of collateral sprouting|neuron projection morphogenesis|modulation of chemical synaptic transmission|positive regulation of DNA binding transcription factor activity",30
Q8K0E8,Fgb,fibrinogen beta chain,5472,Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain],"cell cortex|cell-matrix adhesion|signal transduction|blood coagulation|hemostasis|external side of plasma membrane|cell surface|chaperone binding|platelet activation|protein polymerization|protein binding, bridging|response to calcium ion|platelet alpha granule|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|blood microparticle|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|adaptive immune response|immune system process|signaling receptor binding|structural molecule activity|extracellular region|fibrinogen complex|extracellular space|cytoplasm|endoplasmic reticulum|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|cellular protein-containing complex assembly|fibrinolysis|induction of bacterial agglutination|innate immune response|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|cell adhesion molecule binding",41
O08677,Kng1,kininogen 1,2800,Kininogen-1 [Cleaved into: Kininogen-1 heavy chain; Bradykinin; Kininogen-1 light chain],vasodilation|signaling receptor binding|regulation of blood vessel size|extracellular region|blood microparticle|extracellular space|inflammatory response|positive regulation of cytosolic calcium ion concentration|blood coagulation|hemostasis|negative regulation of peptidase activity|negative regulation of endopeptidase activity|negative regulation of blood coagulation|endopeptidase inhibitor activity|peptidase inhibitor activity|cysteine-type endopeptidase inhibitor activity|extracellular matrix,44
O70273,Ehf,ets homologous factor,1252,ETS homologous factor (ETS domain-containing transcription factor),"positive regulation of transcription by RNA polymerase II|DNA binding|epithelial cell proliferation|DNA binding transcription factor activity|nucleus|nucleoplasm|Golgi apparatus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription by RNA polymerase II|transcription by RNA polymerase II|cell differentiation|epithelial cell differentiation|RNA polymerase II proximal promoter sequence-specific DNA binding|sequence-specific DNA binding|RNA polymerase II transcription factor activity, sequence-specific DNA binding|positive regulation of transcription, DNA-templated|transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding",48
P28665,Mug1,murinoglobulin 1,4084,Murinoglobulin-1 (MuG1),extracellular space|embryo implantation|negative regulation of peptidase activity|peptidase inhibitor activity|endopeptidase inhibitor activity|serine-type endopeptidase inhibitor activity|extracellular region,52
Q3UNW5,Tfcp2l1,transcription factor CP2-like 1,2235,Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1),"cytoplasm organization|fibrillar center|salivary gland development|epithelial cell maturation|determination of adult lifespan|DNA binding|DNA binding transcription factor activity|protein binding|nucleus|membrane|transcription factor complex|sequence-specific DNA binding|cytoplasm|positive regulation of growth|mitochondrion|transcription, DNA-templated|negative regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|cell morphogenesis|regulation of transcription by RNA polymerase II|RNA polymerase II regulatory region sequence-specific DNA binding",58
Q3UNW5,Tfcp2l1,transcription factor CP2-like 1,4952,Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1),"cytoplasm organization|fibrillar center|salivary gland development|epithelial cell maturation|determination of adult lifespan|DNA binding|DNA binding transcription factor activity|protein binding|nucleus|membrane|transcription factor complex|sequence-specific DNA binding|cytoplasm|positive regulation of growth|mitochondrion|transcription, DNA-templated|negative regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|cell morphogenesis|regulation of transcription by RNA polymerase II|RNA polymerase II regulatory region sequence-specific DNA binding",58
Q8C7G5,Apoa5,apolipoprotein A-V,1683,Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3),heparin binding|lipid binding|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|positive regulation of very-low-density lipoprotein particle remodeling|cholesterol binding|high-density lipoprotein particle|cholesterol transporter activity|triglyceride-rich lipoprotein particle remodeling|triglyceride catabolic process|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|lipase binding|lipoprotein metabolic process|chylomicron|acylglycerol homeostasis|phosphatidylcholine-sterol O-acyltransferase activator activity|cholesterol homeostasis|lipase activator activity|lipoprotein lipase activator activity|lipoprotein particle receptor binding|triglyceride homeostasis|phospholipid binding|blood microparticle|extracellular region|extracellular space|triglyceride metabolic process|cholesterol biosynthetic process|lipid transport|enzyme activator activity|enzyme binding|regulation of intestinal cholesterol absorption|neuron projection regeneration|phosphatidylcholine binding|regulation of cholesterol transport|cholesterol efflux|reverse cholesterol transport|phospholipid efflux|positive regulation of fatty acid biosynthetic process|very-low-density lipoprotein particle|phosphatidylcholine metabolic process|positive regulation of lipid biosynthetic process|low-density lipoprotein particle receptor binding|positive regulation of lipid catabolic process|positive regulation of lipoprotein lipase activity,60
P41593,Pth,parathyroid hormone,3464,Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor),"cellular calcium ion homeostasis|adenylate cyclase-activating G-protein coupled receptor signaling pathway|activation of phospholipase C activity|Rho protein signal transduction|cell-cell signaling|positive regulation of glycogen biosynthetic process|positive regulation of ossification|positive regulation of signal transduction|positive regulation of transcription by RNA polymerase II|regulation of gene expression|positive regulation of glucose import|protein N-terminus binding|receptor ligand activity|homeostasis of number of cells within a tissue|peptide hormone receptor binding|phosphate ion homeostasis|negative regulation of transcription by RNA polymerase II|skeletal system development|transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding|hormone activity|extracellular space|magnesium ion homeostasis|positive regulation of bone mineralization|positive regulation of cAMP biosynthetic process|parathyroid hormone receptor binding|type 1 parathyroid hormone receptor binding|calcium ion homeostasis|negative regulation of chondrocyte differentiation|positive regulation of inositol phosphate biosynthetic process|cellular macromolecule biosynthetic process|positive regulation of cell proliferation in bone marrow|bone resorption|negative regulation of apoptotic process in bone marrow|positive regulation of osteoclast proliferation|negative regulation of bone mineralization involved in bone maturation",74
P41593,Pth,parathyroid hormone,6323,Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor),"cellular calcium ion homeostasis|adenylate cyclase-activating G-protein coupled receptor signaling pathway|activation of phospholipase C activity|Rho protein signal transduction|cell-cell signaling|positive regulation of glycogen biosynthetic process|positive regulation of ossification|positive regulation of signal transduction|positive regulation of transcription by RNA polymerase II|regulation of gene expression|positive regulation of glucose import|protein N-terminus binding|receptor ligand activity|homeostasis of number of cells within a tissue|peptide hormone receptor binding|phosphate ion homeostasis|negative regulation of transcription by RNA polymerase II|skeletal system development|transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding|hormone activity|extracellular space|magnesium ion homeostasis|positive regulation of bone mineralization|positive regulation of cAMP biosynthetic process|parathyroid hormone receptor binding|type 1 parathyroid hormone receptor binding|calcium ion homeostasis|negative regulation of chondrocyte differentiation|positive regulation of inositol phosphate biosynthetic process|cellular macromolecule biosynthetic process|positive regulation of cell proliferation in bone marrow|bone resorption|negative regulation of apoptotic process in bone marrow|positive regulation of osteoclast proliferation|negative regulation of bone mineralization involved in bone maturation",74
Q9Z0L6,Pth,parathyroid hormone,7266,Parathyroid hormone (PTH),"cellular calcium ion homeostasis|adenylate cyclase-activating G-protein coupled receptor signaling pathway|activation of phospholipase C activity|Rho protein signal transduction|cell-cell signaling|positive regulation of glycogen biosynthetic process|positive regulation of ossification|positive regulation of signal transduction|positive regulation of transcription by RNA polymerase II|regulation of gene expression|positive regulation of glucose import|protein N-terminus binding|receptor ligand activity|homeostasis of number of cells within a tissue|peptide hormone receptor binding|phosphate ion homeostasis|negative regulation of transcription by RNA polymerase II|skeletal system development|transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding|hormone activity|extracellular space|magnesium ion homeostasis|positive regulation of bone mineralization|positive regulation of cAMP biosynthetic process|parathyroid hormone receptor binding|type 1 parathyroid hormone receptor binding|calcium ion homeostasis|negative regulation of chondrocyte differentiation|positive regulation of inositol phosphate biosynthetic process|cellular macromolecule biosynthetic process|positive regulation of cell proliferation in bone marrow|bone resorption|negative regulation of apoptotic process in bone marrow|positive regulation of osteoclast proliferation|negative regulation of bone mineralization involved in bone maturation",74
P31532,Saa4,serum amyloid A 4,3622,Serum amyloid A-4 protein (Amyloid A-5 protein),high-density lipoprotein particle|chemoattractant activity|cell chemotaxis|extracellular region|extracellular space|acute-phase response,75
Q9QYC3,Bhlha15,"basic helix-loop-helix family, member a15",4105,"Class A basic helix-loop-helix protein 15 (bHLHa15) (Class B basic helix-loop-helix protein 8) (bHLHb8) (Muscle, intestine and stomach expression 1) (MIST-1)","cell maturation|calcium-mediated signaling|transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding|endoplasmic reticulum unfolded protein response|glandular epithelial cell maturation|cellular response to glucose starvation|DNA binding|nucleus|transcription, DNA-templated|glucose homeostasis|regulation of transcription, DNA-templated|protein homodimerization activity|mitochondrial calcium ion transmembrane transport|positive regulation of transcription by RNA polymerase II|Golgi organization|G-protein coupled receptor signaling pathway|RNA polymerase II regulatory region sequence-specific DNA binding|protein dimerization activity|cell-cell signaling|intracellular distribution of mitochondria|negative regulation of myotube differentiation",78
